userId,qId,result,format,word_number,word,section,len,CEFRId,word_Id
0,0,1,4,1102,orient,12,6,3,1101
0,1,1,4,354,wealth,4,6,1,353
0,2,0,4,499,crucial,5,7,3,498
0,3,1,4,523,regret,6,6,3,522
0,4,1,4,561,immigration,6,11,2,560
0,5,1,4,593,visible,6,7,2,592
0,6,1,4,622,attach,7,6,2,621
0,7,1,4,58,knowledge,1,9,1,57
0,8,1,4,78,culture,1,7,0,77
0,9,1,4,79,appropriate,1,11,1,78
0,10,1,4,1,create,1,6,1,0
0,11,1,4,4,mean,1,4,1,3
0,12,1,4,5,own,1,3,0,4
0,13,1,4,12,offer,1,5,1,11
0,14,1,4,13,require,1,7,2,12
0,15,1,4,17,concern,1,7,1,16
0,16,1,4,20,reduce,1,6,2,19
0,17,1,4,21,design,1,6,0,20
0,18,1,4,25,affect,1,6,2,24
0,19,1,4,26,deal,1,4,1,25
0,20,1,4,32,measure,1,7,2,31
0,21,1,4,33,exist,1,5,1,32
0,22,1,4,34,mark,1,4,1,33
0,23,1,4,39,found,1,5,3,38
0,24,1,4,41,idea,1,4,0,40
0,25,1,4,43,company,1,7,1,42
0,26,1,4,49,influence,1,9,1,48
0,27,1,4,52,skill,1,5,0,51
0,28,1,4,55,value,1,5,1,54
0,29,1,4,60,practice,1,8,0,59
0,30,1,4,69,quality,1,7,2,68
0,31,1,4,75,source,1,6,1,74
0,32,1,4,80,likely,1,6,1,79
0,33,1,4,82,individual,1,10,2,81
0,34,1,4,83,public,1,6,2,82
0,35,1,4,84,common,1,6,1,83
0,36,1,4,98,ancient,1,7,1,97
0,37,1,4,117,gain,2,4,2,116
0,38,0,4,125,treat,2,5,2,124
0,39,1,4,138,suffer,2,6,2,137
0,40,1,4,149,model,2,5,2,148
0,41,1,4,163,resource,2,8,2,162
0,42,1,4,192,potential,2,9,3,191
0,43,1,4,2,increase,1,8,2,1
0,44,1,4,3,improve,1,7,1,2
0,45,1,4,6,include,1,7,1,5
0,46,1,4,7,consider,1,8,1,6
0,47,1,4,8,allow,1,5,1,7
0,48,1,4,10,produce,1,7,1,9
0,49,1,4,11,decide,1,6,1,10
0,50,1,4,14,share,1,5,1,13
0,51,1,4,15,store,1,5,0,14
0,52,1,4,16,tend,1,4,2,15
0,53,1,4,18,describe,1,8,0,17
0,54,1,4,19,involve,1,7,2,18
0,55,1,4,22,force,1,5,1,21
0,56,1,4,23,limit,1,5,2,22
0,57,1,4,29,realize,1,7,1,28
0,58,1,4,30,encourage,1,9,1,29
0,59,1,4,31,compare,1,7,1,30
0,60,0,4,35,challenge,1,9,1,34
0,61,1,4,36,depend,1,6,1,35
0,62,1,4,37,object,1,6,2,36
0,63,1,4,40,complete,1,8,1,39
0,64,1,4,42,accord,1,6,3,41
0,65,1,4,45,research,1,8,1,44
0,66,1,4,46,cause,1,5,3,45
0,67,1,4,47,reason,1,6,0,46
0,68,1,4,48,effect,1,6,1,47
0,69,1,4,50,situation,1,9,1,49
0,70,1,4,51,environment,1,11,3,50
0,71,1,4,54,view,1,4,1,53
0,72,1,4,56,species,1,7,3,55
0,73,1,4,57,thought,1,7,1,56
0,74,1,4,59,memory,1,6,0,58
0,75,1,4,61,benefit,1,7,2,60
0,76,1,4,62,theory,1,6,2,61
0,77,1,4,63,issue,1,5,1,62
0,78,1,4,64,experiment,1,10,2,63
0,79,1,4,65,article,1,7,0,64
0,80,1,4,66,focus,1,5,3,65
0,81,1,4,67,subject,1,7,0,66
0,82,1,4,70,role,1,4,0,69
0,83,1,4,71,term,1,4,2,70
0,84,1,4,72,statement,1,9,1,71
0,85,1,4,73,material,1,8,1,72
0,86,0,4,74,evidence,1,8,1,73
0,87,1,4,76,community,1,9,3,75
0,88,1,4,77,technology,1,10,0,76
0,89,1,4,81,possible,1,8,1,80
0,90,1,4,85,certain,1,7,1,84
0,91,1,4,86,similar,1,7,1,85
0,92,1,4,87,recent,1,6,1,86
0,93,1,4,89,patient,1,7,2,88
0,94,1,4,90,particular,1,10,3,89
0,95,1,4,91,physical,1,8,1,90
0,96,1,4,92,various,1,7,2,91
0,97,1,4,94,native,1,6,1,93
0,98,1,4,97,blank,1,5,0,96
0,99,1,4,99,correct,1,7,0,98
0,100,0,4,100,despite,1,7,2,99
0,101,1,4,101,notice,2,6,1,100
0,102,0,4,102,refer,2,5,1,101
0,103,1,4,103,approach,2,8,2,102
0,104,1,4,104,wonder,2,6,2,103
0,105,1,4,105,imagine,2,7,0,104
0,106,1,4,106,recognize,2,9,2,105
0,107,1,4,107,solve,2,5,0,106
0,108,1,4,108,occur,2,5,2,107
0,109,1,4,109,argue,2,5,1,108
0,110,1,4,110,claim,2,5,2,109
0,111,1,4,111,express,2,7,1,110
0,112,0,4,112,draw,2,4,1,111
0,113,1,4,113,waste,2,5,2,112
0,114,0,4,114,advance,2,7,3,113
0,115,1,4,116,prepare,2,7,1,115
0,116,1,4,118,achieve,2,7,1,117
0,117,1,4,119,establish,2,9,1,118
0,118,1,4,120,supply,2,6,2,119
0,119,1,4,121,suppose,2,7,2,120
0,120,1,4,122,perform,2,7,1,121
0,121,1,4,123,prefer,2,6,1,122
0,122,1,4,124,determine,2,9,2,123
0,123,1,4,126,prove,2,5,2,125
0,124,1,4,127,apply,2,5,1,126
0,125,1,4,128,mention,2,7,1,127
0,126,1,4,129,communicate,2,11,1,128
0,127,1,4,131,contact,2,7,1,130
0,128,1,4,132,regard,2,6,3,131
0,129,1,4,133,respect,2,7,2,132
0,130,1,4,134,search,2,6,1,133
0,131,1,4,135,connect,2,7,2,134
0,132,1,4,137,prevent,2,7,1,136
0,133,1,4,139,survive,2,7,1,138
0,134,1,4,140,publish,2,7,1,139
0,135,1,4,141,opportunity,2,11,1,140
0,136,0,4,142,task,2,4,1,141
0,137,1,4,143,industry,2,8,2,142
0,138,1,4,144,medium,2,6,2,143
0,139,1,4,145,economy,2,7,2,144
0,140,1,4,146,policy,2,6,2,145
0,141,1,4,147,account,2,7,1,146
0,142,1,4,148,trade,2,5,1,147
0,143,1,4,150,figure,2,6,1,149
0,144,1,4,151,cell,2,4,2,150
0,145,1,4,153,emotion,2,7,2,152
0,146,1,4,154,stress,2,6,2,153
0,147,1,4,155,decade,2,6,3,154
0,148,1,4,156,range,2,5,1,155
0,149,1,4,159,phrase,2,6,2,158
0,150,1,4,160,damage,2,6,2,159
0,151,0,4,161,impact,2,6,1,160
0,152,1,4,162,method,2,6,1,161
0,153,1,4,165,medicine,2,8,0,164
0,154,1,4,167,feature,2,7,1,166
0,155,0,4,168,function,2,8,2,167
0,156,1,4,169,access,2,6,2,168
0,157,1,4,170,item,2,4,0,169
0,158,1,4,171,income,2,6,2,170
0,159,1,4,174,aspect,2,6,2,173
0,160,1,4,175,structure,2,9,1,174
0,161,1,4,176,habit,2,5,0,175
0,162,1,4,177,link,2,4,2,176
0,163,0,4,178,instance,2,8,2,177
0,164,1,4,179,positive,2,8,2,178
0,165,1,4,180,negative,2,8,1,179
0,166,1,4,181,complex,2,7,2,180
0,167,1,4,182,current,2,7,2,181
0,168,1,4,183,mental,2,6,2,182
0,169,1,4,184,specific,2,8,1,183
0,170,1,4,185,significant,2,11,1,184
0,171,1,4,186,essential,2,9,2,185
0,172,1,4,187,official,2,8,1,186
0,173,1,4,188,financial,2,9,2,187
0,174,1,4,190,aware,2,5,2,189
0,175,1,4,193,active,2,6,2,192
0,176,0,4,194,digital,2,7,2,193
0,177,1,4,195,mobile,2,6,1,194
0,178,0,4,196,novel,2,5,1,195
0,179,1,4,197,plastic,2,7,1,196
0,180,1,4,199,necessary,2,9,1,198
0,181,1,4,200,eventually,2,10,2,199
0,182,1,4,201,identify,3,8,3,200
0,183,1,4,204,manage,3,6,1,203
0,184,1,4,207,survey,3,6,0,206
0,185,1,4,208,replace,3,7,1,207
0,186,1,4,210,conduct,3,7,2,209
0,187,1,4,212,attempt,3,7,1,211
0,188,1,4,216,feed,3,4,0,215
0,189,1,4,218,observe,3,7,2,217
0,190,1,4,219,reveal,3,6,1,218
0,191,1,4,221,reflect,3,7,1,220
0,192,1,4,223,decrease,3,8,2,222
0,193,1,4,224,ignore,3,6,2,223
0,194,1,4,225,match,3,5,0,224
0,195,1,4,227,adapt,3,5,2,226
0,196,1,4,229,exchange,3,8,1,228
0,197,1,4,231,respond,3,7,2,230
0,198,1,4,233,doubt,3,5,1,232
0,199,1,4,236,assume,3,6,2,235
0,200,1,4,238,satisfy,3,7,1,237
